Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
what does rx mean in tarot,Informational,320,"1.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00",4,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",193000
what does temperance mean in tarot,Informational,320,"0.00,0.08,0.08,0.08,0.07,0.08,0.02,1.00,0.05,0.00,0.08,0.00",29,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",717000
what does the emperor mean in tarot,Informational,320,"0.54,0.66,0.54,0.44,0.44,0.54,0.66,0.54,0.54,0.54,0.81,1.00",32,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Video, Knowledge panel, Related searches",1340000
what does the hermit mean in tarot cards,Informational,320,"0.24,0.10,0.67,1.00,0.13,0.16,0.08,0.30,0.08,0.76,0.00,0.00",22,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",907000
what does the hierophant tarot card mean,Informational,320,"0.44,0.54,0.66,0.66,0.54,0.66,0.66,0.66,0.66,0.66,0.81,1.00",31,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",491000
what does the magician mean in tarot,Informational,320,"0.07,0.02,0.07,0.01,0.05,0.01,0.05,1.00,0.05,0.05,0.00,0.07",18,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",1540000
what does the tarot card death mean,Informational,320,"0.12,0.10,0.37,0.25,1.00,0.25,0.10,0.04,0.37,0.07,0.25,0.77",27,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",7140000
what do tarot cards mean,Informational,260,"0.16,0.16,0.13,0.13,0.13,0.13,0.11,0.08,0.11,0.11,1.00,0.13",54,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",16700000
what does each tarot card mean,Informational,260,"1.00,1.00,1.00,1.00,0.65,0.82,0.82,0.65,0.65,0.82,0.82,0.82",60,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",20000000
what does hermit mean in tarot,Informational,260,"0.23,0.18,0.54,0.35,0.28,0.06,0.81,1.00,1.00,0.28,0.00,0.08",21,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",992000
what does magician tarot card mean,Informational,260,"0.44,0.01,0.66,0.23,0.18,0.44,0.81,1.00,1.00,0.28,0.28,0.00",25,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",1290000
what does tarot mean,Informational,260,"0.00,0.01,0.01,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",63,0.00,0.00,"Sitelinks, Instant answer, Image pack, Video, People also ask, Related searches",48900000
what does the chariot mean in a tarot reading,Informational,260,"0.39,0.21,0.26,0.17,0.26,0.11,0.14,0.59,0.48,0.17,0.14,1.00",21,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",126000
what does the hanged man mean in tarot cards,Informational,260,"0.03,0.03,0.02,0.00,0.05,0.02,0.02,1.00,0.05,0.00,0.03,0.00",28,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",595000
what does the high priest tarot card mean,Informational,260,"0.66,0.35,0.44,0.28,0.44,0.18,0.23,1.00,0.81,0.23,0.23,0.66",23,0.02,0.01,"AI Overview, Instant answer, Video, Knowledge panel, Related searches",856000
what does the tarot card the hermit mean,Informational,260,"0.19,0.19,0.35,0.30,0.30,0.14,0.68,1.00,0.54,0.43,0.00,0.00",21,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Discussions and forums, Related searches",992000
what does the tower mean in tarot,Informational,260,"0.81,0.00,0.18,0.66,0.23,0.54,0.54,0.54,0.54,0.66,1.00,0.81",23,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",3620000
what does the devil card mean in the tarot deck,Informational,210,"1.00,0.36,1.00,0.19,0.19,0.19,0.03,0.00,0.00,0.00,0.00,0.00",10,2.50,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches",168000
what does the hangman mean in tarot,Informational,210,"1.00,0.00,0.00,0.06,0.08,0.06,0.00,0.01,0.00,0.08,0.00,0.00",36,0.00,0.00,"Sitelinks, Instant answer, Image pack, Video, Knowledge panel, Related searches",566000
what does the judgement tarot card mean,Informational,210,"0.82,0.65,0.65,0.53,0.82,0.82,0.82,0.65,0.53,0.82,0.65,1.00",11,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",1260000
what does the justice tarot card mean,Informational,210,"1.00,0.50,0.50,1.00,0.00,0.50,0.50,0.00,0.50,0.50,0.00,1.00",15,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",3020000
what does the moon mean in tarot,Informational,210,"1.00,1.00,0.71,0.00,0.71,1.00,0.71,1.00,0.71,1.00,1.00,1.00",35,0.00,0.00,"Sitelinks, Instant answer, Image, Image pack, Video, People also ask, Knowledge panel, Related searches",20700000
what does the sun mean in tarot,Informational,210,"1.00,0.81,0.64,0.64,0.53,0.81,0.11,0.06,0.81,1.00,1.00,1.00",12,0.00,0.00,"Sitelinks, Instant answer, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",10
what do the tarot cards mean,Informational,170,"0.79,1.00,0.79,0.66,0.66,0.41,0.34,0.41,0.52,0.52,0.66,0.52",55,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",17900000
what does hanged man mean in tarot,Informational,170,"0.00,0.00,0.00,0.03,0.00,0.76,0.00,0.00,0.67,0.00,0.03,1.00",29,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches",777000
what does the hanged man card mean in tarot,Informational,170,"0.18,0.28,0.28,0.28,0.23,0.35,0.18,0.66,0.18,0.05,0.23,1.00",29,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",651000
what does the strength tarot card mean,Informational,170,"1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.50,0.00,0.50,0.50,1.00",25,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",4970000
what does the tarot lovers card mean,,170,"0.35,0.35,0.35,0.35,0.29,0.29,0.29,0.35,0.29,0.29,0.35,1.00",,0.04,0.02,,
what does the temperance tarot card mean,Informational,170,"0.00,1.00,0.80,1.00,0.60,0.80,0.00,0.80,0.80,0.00,0.80,1.00",22,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask",556000
what does the moon card mean in tarot,Informational,140,"1.00,1.00,0.65,0.65,0.52,1.00,0.83,0.83,0.65,0.65,1.00,0.17",28,0.00,0.00,"Featured snippet, Sitelinks, Video, Knowledge panel, Related searches",8020000
what does the world card mean in tarot,Informational,140,"1.00,0.71,0.57,0.71,0.71,1.00,0.57,0.14,0.57,0.57,0.57,0.71",34,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",17800000
what does the world mean in tarot,Informational,140,"1.00,1.00,0.88,0.88,0.63,0.88,0.25,0.88,0.00,0.63,1.00,0.88",20,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",34500000
what do the wands mean in tarot,Informational,110,"0.33,0.33,0.66,0.52,0.33,0.33,0.42,0.52,0.66,0.52,1.00,0.52",11,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",1390000
what do wands mean in tarot,Informational,110,"0.64,0.49,0.79,0.79,0.64,0.79,0.79,1.00,0.79,0.79,1.00,1.00",21,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",1550000
what does the ace of swords mean in tarot,Informational,110,"0.52,0.64,0.52,0.64,0.41,1.00,0.64,0.82,0.52,0.64,0.64,0.64",26,0.00,0.00,"Featured snippet, AI Overview, Video, Related searches",639000
what does the ace of wands tarot card mean,Informational,110,"0.53,0.65,0.65,0.53,0.41,0.53,0.41,0.53,0.53,0.83,0.65,1.00",18,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches",811000
what does the devil mean in tarot,Informational,110,"1.00,0.00,0.66,0.80,1.00,0.09,0.00,0.23,0.00,0.80,0.66,0.00",23,0.00,0.00,"Featured snippet, Sitelinks, Video, Knowledge panel, Related searches",4680000
what does the emperor mean in tarot cards,Informational,110,"0.25,0.25,0.25,0.25,0.17,0.21,0.25,1.00,0.21,0.33,0.04,0.00",23,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",936000
what does the king of cups mean in tarot,Informational,110,"1.00,0.81,1.00,1.00,0.81,1.00,1.00,1.00,1.00,0.81,0.81,1.00",14,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",1180000
what does the knight of wands mean in tarot,Informational,110,"1.00,0.53,0.53,0.65,0.41,0.53,0.53,0.53,0.53,0.53,0.53,0.53",17,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",524000
what do pentacles mean in tarot,Informational,90,"0.79,0.79,0.63,0.79,0.79,0.63,0.79,0.79,0.47,0.63,1.00,0.79",20,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",1260000
what do swords mean in tarot,Informational,90,"0.62,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.62,0.81,0.81,1.00",18,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",1890000
what does pentacles mean in tarot,Informational,90,"0.64,0.64,0.39,0.54,0.29,0.64,0.54,1.00,0.54,0.64,0.00,0.39",26,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask",
what does swords mean in tarot,Informational,90,"0.63,0.81,0.81,0.81,0.81,1.00,0.08,1.00,0.81,1.00,1.00,0.63",25,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",1930000
what does the 10 of swords mean in tarot,Informational,90,"0.63,1.00,0.63,1.00,0.63,0.81,0.81,0.81,0.63,0.63,0.81,0.81",10,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",1320000
what does the ace of cups mean in tarot,Informational,90,"0.53,0.42,0.53,0.53,0.00,0.07,0.34,0.34,0.00,0.11,1.00,0.65",8,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",710000
what does the justice card mean in tarot,Informational,90,"0.00,0.62,0.48,0.62,0.76,0.62,0.62,0.76,0.48,0.76,0.62,1.00",20,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",2760000
what does the king of cups tarot card mean,Informational,90,"0.81,0.81,1.00,0.81,0.45,0.81,0.81,1.00,1.00,0.81,0.81,1.00",13,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",1020000
what does the king of swords mean in tarot,Informational,90,"0.78,0.78,0.21,0.78,0.28,0.50,0.78,0.50,0.64,0.64,1.00,1.00",10,0.00,0.00,"AI Overview, Image pack, Video, Related searches",1070000
what does the king of wands mean in tarot,Informational,90,"1.00,0.79,0.49,0.79,0.49,1.00,0.64,0.49,1.00,0.79,0.79,1.00",25,0.00,0.00,"Featured snippet, Sitelinks, AI Overview, Video, Related searches",786000
what does the knight of swords mean in tarot,Informational,90,"1.00,1.00,0.81,0.81,0.81,1.00,0.81,0.63,0.63,0.81,1.00,1.00",19,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",816000
what does the lovers card mean in tarot,Informational,90,"1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00",23,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",4420000
what does the queen of swords mean in tarot,Informational,90,"0.23,1.00,1.00,0.00,0.64,0.81,0.64,0.81,0.06,0.81,0.64,0.00",17,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",293
what does the sun card mean in tarot,Informational,90,"0.63,0.63,0.63,0.06,0.13,0.81,0.00,0.63,1.00,0.00,0.13,0.00",28,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Video, People also ask, Knowledge panel, Related searches",8200000
what does the two of cups mean in tarot,Informational,90,"1.00,0.64,0.64,0.41,0.41,0.41,0.41,0.41,0.41,0.52,0.64,0.52",17,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",2170000
what does wands mean in tarot,Informational,90,"0.62,1.00,1.00,0.81,0.81,1.00,0.07,1.00,0.81,0.17,0.00,0.00",24,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",1430000
what do cups mean in tarot,Informational,70,"0.50,0.50,0.00,0.50,0.50,0.50,0.00,1.00,0.50,0.50,1.00,0.50",28,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",2680000
what do the lovers mean in tarot,Informational,70,"0.76,0.56,0.76,0.76,1.00,0.44,0.76,0.44,0.56,0.76,0.76,0.76",20,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Related searches",8860000
what do the tarot cards mean in phasmophobia,Informational,70,"0.11,0.64,0.11,1.00,0.64,0.41,0.23,0.23,0.41,0.64,0.52,0.23",18,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches",83
what does judgement mean in tarot,Informational,70,"1.00,0.79,0.00,0.21,0.00,0.49,0.79,0.00,0.49,0.64,0.49,0.79",21,0.00,0.00,"Featured snippet, Sitelinks, Video, Knowledge panel, Related searches",1910000
what does my tarot reading mean,Informational,70,"1.00,0.81,0.45,0.64,0.45,0.45,0.27,0.36,0.45,0.45,0.64,0.45",20,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches",76400000
what does reversed mean in tarot,Informational,70,"1.00,1.00,1.00,0.64,0.14,0.00,0.00,0.00,0.00,0.00,0.14,0.29",20,0.00,0.00,"Video, Related searches",1720000
what does the chariot tarot card mean,Informational,70,"0.00,0.88,0.25,0.63,0.00,0.00,0.88,0.25,0.50,0.00,0.00,1.00",0,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",10
what does the four of cups mean in tarot,Informational,70,"0.11,0.29,0.64,0.64,0.41,1.00,0.64,0.29,0.11,0.64,1.00,0.52",21,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Related searches",1160000
what does the hermit mean in tarot,Informational,70,"0.60,0.80,0.00,1.00,0.00,0.80,0.20,0.00,0.00,0.60,0.60,0.00",21,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches",1100000
what does the hermit tarot card mean phasmophobia,Informational,70,"0.11,1.00,1.00,0.64,0.64,0.41,0.29,0.41,0.41,0.64,0.29,0.29",18,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches",83
what does the hierophant in tarot mean,Informational,70,"1.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",30,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",553000
what does the high priestess mean in tarot,Informational,70,"0.78,1.00,0.63,0.50,0.63,0.21,0.00,0.06,0.06,0.63,1.00,0.00",24,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",1110000
what does the king of cups mean in tarot cards,Informational,70,"0.78,0.78,1.00,0.78,0.78,0.78,0.56,0.78,0.56,0.78,1.00,1.00",13,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",950000
what does the seven of swords mean in tarot,Informational,70,"0.81,1.00,0.63,0.27,0.63,0.18,0.18,0.63,1.00,0.18,0.18,1.00",13,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",753000
what does the tower card mean in tarot,Informational,70,"0.23,0.23,0.00,0.00,0.23,0.31,0.23,0.31,0.23,0.23,1.00,0.38",23,0.00,0.00,"Featured snippet, Sitelinks, Image, Video, Knowledge panel, Related searches",2200000
what does wheel of fortune mean in tarot,Informational,70,"0.04,0.19,0.19,1.00,0.00,0.53,0.09,0.53,0.53,0.66,0.66,0.00",19,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches",1170000
what do all the tarot cards mean,Informational,50,"0.60,1.00,0.40,0.40,0.20,0.20,0.40,0.40,0.40,0.40,0.60,0.60",53,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",21600000
what do all the tarot cards mean in phasmophobia,Informational,50,"0.11,0.64,0.11,0.11,1.00,0.11,0.11,0.11,0.64,0.64,0.11,0.11",20,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Discussions and forums, Related searches",75
what do my tarot cards mean,Informational,50,"0.67,1.00,0.56,0.44,0.44,1.00,0.67,0.56,0.44,0.56,0.67,0.67",46,0.00,0.00,"Sitelinks, Image pack, Video, Related searches",17900000
what do the cups mean in tarot,Informational,50,"1.00,0.78,0.78,1.00,0.78,0.78,0.56,0.56,0.22,0.22,0.56,0.22",16,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",4000000
what does cups mean in tarot,Informational,50,"0.63,0.44,0.00,0.63,0.44,0.44,0.08,1.00,0.63,0.81,0.63,0.63",26,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",3530000
what does it mean when a tarot card is reversed,Informational,50,"1.00,0.78,0.78,0.00,0.35,0.00,0.00,0.13,0.00,0.35,0.00,0.00",19,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",1700000
what does knight of wands mean in tarot,Informational,50,"1.00,0.23,0.33,0.09,0.09,0.09,0.19,0.09,0.09,0.09,0.19,0.14",8,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",537000
what does page of cups mean in tarot,Informational,50,"1.00,0.18,1.00,0.63,0.45,0.18,0.18,0.18,0.63,0.18,1.00,0.63",13,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Discussions and forums, Related searches",1660000
what does tarot cards mean,Informational,50,"1.00,0.56,0.67,1.00,0.56,0.44,0.56,0.67,0.56,0.56,0.67,0.56",50,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",18100000
what does the empress mean in tarot,Informational,50,"1.00,0.06,0.00,0.63,0.63,0.63,0.00,0.51,0.17,0.23,0.06,0.00",24,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Image, Video, People also ask, Knowledge panel, Related searches",1050000
what does the hierophant mean in tarot,Informational,50,"0.04,0.26,0.35,1.00,0.48,0.35,0.65,0.35,0.26,0.22,0.04,0.00",17,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Knowledge panel, Related searches",590000
what does the star card mean in tarot,Informational,50,"0.00,1.00,0.00,0.00,0.75,0.25,1.00,0.13,0.00,0.13,0.00,0.00",21,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",18300000
what do the tarot cards mean phasmophobia,Informational,40,"0.18,1.00,1.00,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18",20,0.00,0.00,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches",88
what does a reverse tarot card mean,Informational,40,"1.00,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67",17,0.00,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",2000000
what does a reversed tarot card mean,Informational,40,"1.00,1.00,1.00,0.71,0.57,0.14,0.00,0.57,0.29,0.29,0.43,0.00",17,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",1480000
what does an upside down tarot card mean,Informational,40,"1.00,0.70,0.56,0.70,0.00,0.56,0.42,0.00,0.00,0.00,0.00,0.00",9,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Discussions and forums, Related searches",2210000
what does empress card mean in tarot,Informational,40,"0.14,0.28,0.50,0.50,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",5,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches",10
what does justice mean in tarot,Informational,40,"0.25,0.00,0.63,0.75,0.75,0.00,0.63,0.00,0.13,0.75,0.75,1.00",17,0.00,0.00,"Featured snippet, Sitelinks, Video, Knowledge panel, Related searches",4850000
what does queen of cups mean in tarot,,40,"1.00,0.18,0.18,0.36,0.27,0.18,0.18,0.18,0.18,0.18,0.18,1.00",,0.00,0.00,,
